Date,Open,High,Low,Close,Volume,Symbol
5/31/16,731.73999,739.72998,731.26001,735.719971,2129500,GOOG
6/1/16,734.530029,737.210022,730.659973,734.150024,1253600,GOOG
6/2/16,732.5,733.02002,724.169983,730.400024,1341800,GOOG
6/3/16,729.27002,729.48999,720.559998,722.340027,1226300,GOOG
6/6/16,724.909973,724.909973,714.609985,716.549988,1565300,GOOG
6/7/16,719.840027,721.97998,716.549988,716.650024,1336200,GOOG
6/8/16,723.960022,728.570007,720.580017,728.280029,1583700,GOOG
6/9/16,722.869995,729.539978,722.335999,728.580017,988900,GOOG
6/10/16,719.469971,725.890015,716.429993,719.409973,1216400,GOOG
6/13/16,716.51001,725.440002,716.51001,718.359985,1258900,GOOG
6/14/16,716.47998,722.469971,713.119995,718.27002,1306100,GOOG
6/15/16,719,722.97998,717.309998,718.919983,1214500,GOOG
6/16/16,714.909973,716.650024,703.26001,710.359985,1982500,GOOG
6/17/16,708.650024,708.820007,688.452026,691.719971,3402400,GOOG
6/20/16,698.77002,702.47998,693.409973,693.710022,2082500,GOOG
6/21/16,698.400024,702.77002,692.01001,695.940002,1465600,GOOG
6/22/16,699.059998,700.859985,693.08197,697.460022,1184300,GOOG
6/23/16,697.450012,701.950012,687,701.869995,2171400,GOOG
6/24/16,675.169983,689.400024,673.450012,675.219971,4449000,GOOG
6/27/16,671,672.299988,663.283997,668.26001,2629000,GOOG
6/28/16,678.969971,680.330017,673,680.039978,2173800,GOOG
6/29/16,683,687.429016,681.409973,684.109985,1932600,GOOG
6/30/16,685.469971,692.320007,683.650024,692.099976,1597700,GOOG
7/1/16,692.200012,700.650024,692.130005,699.210022,1344700,GOOG
7/5/16,696.059998,696.940002,688.880005,694.950012,1462600,GOOG
7/6/16,689.97998,701.679993,689.090027,697.77002,1411900,GOOG
7/7/16,698.080017,698.200012,688.215027,695.359985,1304200,GOOG
7/8/16,699.5,705.710022,696.434998,705.630005,1575200,GOOG
7/11/16,708.049988,716.51001,707.23999,715.090027,1111800,GOOG
7/12/16,719.119995,722.940002,715.909973,720.640015,1336900,GOOG
7/13/16,723.619995,724,716.849976,716.97998,935900,GOOG
7/14/16,721.580017,722.210022,718.030029,720.950012,950200,GOOG
7/15/16,725.72998,725.73999,719.054993,719.849976,1279300,GOOG
7/18/16,722.710022,736.130005,721.190002,733.780029,1295500,GOOG
7/19/16,729.890015,736.98999,729,736.960022,1227500,GOOG
7/20/16,737.330017,742.130005,737.099976,741.190002,1289700,GOOG
7/21/16,740.359985,741.690002,735.830994,738.630005,1026300,GOOG
7/22/16,741.859985,743.23999,736.559998,742.73999,1259800,GOOG
7/25/16,740.669983,742.609985,737.5,739.77002,1032400,GOOG
7/26/16,739.039978,741.690002,734.27002,738.419983,1186700,GOOG
7/27/16,738.280029,744.460022,737,741.77002,1512500,GOOG
7/28/16,747.039978,748.650024,739.299988,745.909973,3530200,GOOG
7/29/16,772.710022,778.549988,766.77002,768.789978,3841500,GOOG
8/1/16,761.090027,780.429993,761.090027,772.880005,2700500,GOOG
8/2/16,768.690002,775.840027,767.849976,771.070007,1784500,GOOG
8/3/16,767.179993,773.210022,766.820007,773.179993,1287400,GOOG
8/4/16,772.219971,774.070007,768.794983,771.609985,1140300,GOOG
8/5/16,773.780029,783.039978,772.340027,782.219971,1801200,GOOG
8/8/16,782,782.630005,778.091003,781.76001,1107900,GOOG
8/9/16,781.099976,788.940002,780.570007,784.26001,1318900,GOOG
8/10/16,783.75,786.812012,782.778015,784.679993,786400,GOOG
8/11/16,785,789.75,782.969971,784.849976,975100,GOOG
8/12/16,781.5,783.39502,780.400024,783.219971,740500,GOOG
8/15/16,783.75,787.48999,780.109985,782.440002,938200,GOOG
8/16/16,780.299988,780.97998,773.44397,777.140015,1028000,GOOG
8/17/16,777.320007,780.809998,773.530029,779.909973,924200,GOOG
8/18/16,780.01001,782.859985,777,777.5,719400,GOOG
8/19/16,775,777.099976,773.130005,775.419983,861500,GOOG
8/22/16,773.27002,774.539978,770.049988,772.150024,951400,GOOG
8/23/16,775.47998,776.440002,771.784973,772.080017,928200,GOOG
8/24/16,770.580017,774.5,767.070007,769.640015,1072000,GOOG
8/25/16,767,771.890015,763.184998,769.409973,926900,GOOG
8/26/16,769,776.080017,765.849976,769.539978,1166700,GOOG
8/29/16,768.73999,774.98999,766.61499,772.150024,847600,GOOG
8/30/16,769.330017,774.466003,766.840027,769.090027,1130000,GOOG
8/31/16,767.01001,769.090027,765.380005,767.049988,1248600,GOOG
9/1/16,769.25,771.02002,764.299988,768.780029,925100,GOOG
9/2/16,773.01001,773.919983,768.409973,771.460022,1072700,GOOG
9/6/16,773.450012,782,771,780.080017,1442800,GOOG
9/7/16,780,782.72998,776.200012,780.349976,893700,GOOG
9/8/16,778.590027,780.349976,773.580017,775.320007,1270300,GOOG
9/9/16,770.099976,773.244995,759.659973,759.659973,1885500,GOOG
9/12/16,755.130005,770.289978,754,769.02002,1311000,GOOG
9/13/16,764.47998,766.219971,755.799988,759.690002,1395000,GOOG
9/14/16,759.609985,767.679993,759.109985,762.48999,1087400,GOOG
9/15/16,762.890015,773.799988,759.960022,771.76001,1305100,GOOG
9/16/16,769.75,769.75,764.659973,768.880005,2049300,GOOG
9/19/16,772.419983,774,764.440979,765.700012,1172800,GOOG
9/20/16,769,773.330017,768.530029,771.409973,978600,GOOG
9/21/16,772.659973,777.159973,768.301025,776.219971,1167800,GOOG
9/22/16,780,789.849976,778.440002,787.210022,1486200,GOOG
9/23/16,786.590027,788.929993,784.150024,786.900024,1411900,GOOG
9/26/16,782.73999,782.73999,773.070007,774.210022,1533200,GOOG
9/27/16,775.5,785.98999,774.307983,783.01001,1153200,GOOG
9/28/16,777.849976,781.809998,774.969971,781.559998,1109800,GOOG
9/29/16,781.440002,785.799988,774.231995,775.01001,1314700,GOOG
9/30/16,776.330017,780.940002,774.090027,777.289978,1585300,GOOG
10/3/16,774.25,776.065002,769.5,772.559998,1278800,GOOG
10/4/16,776.030029,778.710022,772.890015,776.429993,1201400,GOOG
10/5/16,779.309998,782.070007,775.650024,776.469971,1461200,GOOG
10/6/16,779,780.47998,775.539978,776.859985,1070700,GOOG
10/7/16,779.659973,779.659973,770.75,775.080017,933200,GOOG
10/10/16,777.710022,789.380005,775.869995,785.940002,1174900,GOOG
10/11/16,786.659973,792.280029,780.580017,783.070007,1372500,GOOG
10/12/16,783.76001,788.130005,782.059998,786.140015,937400,GOOG
10/13/16,781.219971,781.219971,773,778.190002,1365300,GOOG
10/14/16,781.650024,783.950012,776,778.530029,852500,GOOG
10/17/16,779.799988,785.849976,777.5,779.960022,1093000,GOOG
10/18/16,787.849976,801.609985,785.565002,795.26001,2056900,GOOG
10/19/16,798.23999,804.599976,798.030029,801.5,1766800,GOOG
10/20/16,803.299988,803.969971,796.030029,796.969971,1757500,GOOG
10/21/16,795,799.5,794,799.369995,1266200,GOOG
10/24/16,804.900024,815.179993,804.820007,813.109985,1697500,GOOG
10/25/16,816.679993,816.679993,805.140015,807.669983,1576400,GOOG
10/26/16,806.340027,806.97998,796.320007,799.070007,1647700,GOOG
10/27/16,801,803.48999,791.5,795.349976,2749200,GOOG
10/28/16,808.349976,815.48999,793.590027,795.369995,4269900,GOOG
10/31/16,795.469971,796.859985,784,784.539978,2427300,GOOG
11/1/16,782.890015,789.48999,775.539978,783.609985,2406400,GOOG
11/2/16,778.200012,781.650024,763.450012,768.700012,1872400,GOOG
11/3/16,767.25,769.950012,759.030029,762.130005,1943200,GOOG
11/4/16,750.659973,770.359985,750.560974,762.02002,2134800,GOOG
11/7/16,774.5,785.190002,772.549988,782.52002,1585100,GOOG
11/8/16,783.400024,795.632996,780.190002,790.51001,1366900,GOOG
11/9/16,779.940002,791.22699,771.669983,785.309998,2607100,GOOG
11/10/16,791.169983,791.169983,752.179993,762.559998,4745200,GOOG
11/11/16,756.539978,760.780029,750.380005,754.02002,2431800,GOOG
11/14/16,755.599976,757.849976,727.539978,736.080017,3654400,GOOG
11/15/16,746.969971,764.416016,746.969971,758.48999,2384000,GOOG
11/16/16,755.200012,766.359985,750.51001,764.47998,1472600,GOOG
11/17/16,766.919983,772.700012,764.22998,771.22998,1304000,GOOG
11/18/16,771.369995,775,760,760.539978,1547100,GOOG
